csv_column,csv_unit,imas_unit,csv_dtype,imas_dtype,imas_path,csv_description,imas_standard_name,imas_description,kind,status,notes,transform,transform_args,needs_source,source_fields,source,errors,sentinels,
R95,,,,,summary/local/pedestal/position,Radius where the normalized radial coordinate r = 0.95.,,Radial position at which physics quantities are evaluated,,mapped_caveat,"Mapping to summary/local/pedestal since one can specify the normalized coordinate at 0.95, however this implicitly locates the pedestal at this coordinate, which is not true",identity,,TRUE,"(""rho_tor"", ""rho_tor_norm"")",0.95,,[-9.999e-09],summary/local/pedestal/position
AUXHEAT,,,constant_string1d(:),,,Type of auxiliary heating.,,,,manifest,,identity,,,,,,,
PHASE,,,constant_string1d(:),,,The phase of the discharge at TIME.,,,,manifest,,identity,,,,,,,
LHTIME,,,dynamic_float1d(:),,,The time of the transition from a non-H-mode phase to an H phase in seconds.,,,,manifest,Important quantity. Potential discussion for summary IDS. ,identity,,,,,,[-9.999e-09],
CAUSE,,,constant_string1d(:),,,Identifier of the cause of an LH or HL transition.,,,,manifest,,identity,,,,,,['UNKNOWN'],
TRTIME,,,dynamic_float1d(:),,,Duration of the transition in seconds. This is taken to be the duration of the drop in the Da emission.,,,,manifest,,identity,,,,,,"[-9.999e-09, 0.001]",
PGASA,,u,dynamic_float1d(:),FLT_1D,summary/volume_average/meff_hydrogenic,Mass number of the plasma working gas.,,Effective mass of the hydrogenic species (MH. nH+MD.nD+MT.nT)/(nH+nD+nT)  ,dynamic,manifest,"""Working gas""? Technically derivable from MEFF and Atomic mass number of NB injectors.",identity,,TRUE,,,,,summary/volume_average/meff_hydrogenic
XPLIMB,,,dynamic_float1d(:),FLT_0D,equilibrium/time_slice(0)/boundary/gap(5),The minimum distance between the bottom X-point and either the vessel walls or limiters in metres from an MHD equilibrium fit. Positive XPLIMB means that the X-point is inside the vessel.,,"Set of gaps, defined by a reference point and a direction.",dynamic,manifest,see GAPIN,identity,,TRUE,"(""value"", ""description"")",,,[-9.999e-09],equilibrium/time_slice/boundary/gap
DELTA,,,dynamic_float1d(:),,,The triangularity of the plasma boundary from an MHD equilibrium fit.,,,,manifest,Derived from upper and lower triangularity,identity,,,,,,,
INDENT,,,dynamic_float1d(:),,,Indentation of the plasma determined from an MHD equilibrium fit.,,,,manifest,"No indentation field in the current DD (boundary carries squareness, elongation, triangularity); suggest temporary.",identity,,,,MHD equilibrium fit,,,
AREA,,,dynamic_float1d(:),,,Area of plasma cross section in m2 determined from an MHD equilibrium fit.,,,,manifest,"""Area of plasma cross section"" = LCFS poloidal cross section?",identity,,,,MHD equilibrium fit,,,
SPLASMA,,,dynamic_float1d(:),,,Plasma surface area in m2 from an MHD equilibrium fit.,,,,manifest,,identity,,,,MHD equilibrium fit,,,
IGRADB,,,constant_integer0d(:),,,"Indicates, when CONFIG = SN, whether the ion grad-B drift is towards (= 1) or pointing away from (= -1) the X-point.",,,,manifest,Important quantity. ,identity,,,,,,[-9999999],
DIVMAT,,,constant_integer0d(:),,,The material of the divertor tiles.,,,,manifest,"Source data has trailing whitespace. Titanium (TI1, TI2 indicators) are Titanium *with carbon coating*, which is not necessarily implied by the source variable sheet. ",dictionary,"{""C"": 1, ""Mo"": 11, ""C/BE"": 1, ""C"": 1, ""CC"": 1, ""W"": 2, ""BE"": 10, ""Fe"": 4, ""ss"": 4, ""TI1"": 9, ""TI2"": 9, ""TI1"":9,""TI2"":9}",,,,,,
BEILI2,,,dynamic_float1d(:),,,"This quantity is determined from MHD and represents bI + 0.5 li, where bI is the Shafranov beta and li the internal inductance.",,,,manifest,"Composite bI + li/2 has no DD field; the components exist separately (summary/global_quantities/beta_pol, summary/global_quantities/li). Suggest derived or temporary.",identity,,,,,,,
BEIMHD,,,dynamic_float1d(:),,,Beta Shafranov from MHD.,,,,manifest,,identity,,,,,,,
DWDIAPAR,,,dynamic_float1d(:),,,Time derivative for ASDEX of Wdia from a parabolic fit to the three available H-mode points.,,,,manifest,,,,,,,,[-9.999e-09],
